<r>,r
r,r
r,rʲ
<r>,ɾ
ɾ,ɾ
ɾ,ɾʲ
ɾ,ɾ̞
ɾ,ɾ̝̥
ɾ,ɾ̝̬̥
ɾ,ɾ̥
ɾ,ɾ̩̂ 
<r>,ɹ
ɹ,ɹ̞
ɹ,ɹʲ
ɹ,ɹʲ
<r>,ʁ
ʁ,ʁ
ʁ,ʁ̞
ʁ,ʁ̞̥
ʁ,ʁ̥
<r>,ʀ
ʀ,ʀ
<r>,ʐ
ʐ,ʐ
ʐ,ʐ͡ɣ
<r>,s
s,s
s,sʲ
<r>,ʂ
ʂ,ʂ
<r>,χ
χ,χ̟
<r>,ɕ
ɕ,ɕ
<r>,ʃ
ʃ,ʃ
