"Language","ISO_code","Phoible_code","Meaning","Form","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","revision"
"Central Thai","tha","tha","rough","ja:p.2","no","CLICS",14.192,100.671,"Tai-Kadai",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"trilled"
"Central Thai","tha","tha","rough","khruʔ.2-khraʔ.2 maj.3 riap.3","no","CLICS",14.192,100.671,"Tai-Kadai",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,"trilled"
"Thai","tha","tha","rough","ja:p.8","no","CLICS",6.85668,99.7031,"Tai-Kadai",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"OUT"
"Thai","tha","tha","rough","ta.5 luk.5","no","CLICS",6.85668,99.7031,"Tai-Kadai",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,TRUE,"OUT"
"Southern Kam","doc; kmc",NA,"rough","mut.323","no","CLICS",25.8874,109.222,"Tai-Kadai",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"OUT"
"Southern Kam","doc; kmc",NA,"rough","qe.212 ljân.55","no","CLICS",25.8874,109.222,"Tai-Kadai",NA,"Southeast Asia","S/SE Asia",6.2,TRUE,"no trill",FALSE,TRUE,"OUT"
"Ingush","inh","inh","rough","oxca","no","CLICS",43.11,45.03,"Nakh-Daghestanian","Nakh","Greater Mesopotamia","W and SW Eurasia",6.2,TRUE,"no trill",FALSE,FALSE,"trilled"
"Tsova-Tush","bbl","bbl","rough","uhāmur","yes","CLICS",42.1806,45.344,"Nakh-Daghestanian","Nakh","Greater Mesopotamia","W and SW Eurasia",6.2,TRUE,"trill",TRUE,FALSE,"other"
"Bengali","ben","ben","rough","asamatala","no","CLICS",24,90,"Indo-European","Indo-Iranian","Indic","S/SE Asia",6.2,TRUE,"no trill",FALSE,TRUE,NA
"Khasi","kha","kha","rough","sohkhruh-sohkhrâm","yes","CLICS",24.977,91.9998,"Austroasiatic","Northern Mon-Khmer","Indic","S/SE Asia",6.2,TRUE,"trill",TRUE,FALSE,"trilled"
"Marathi","mar","mar","rough","kʰarabarit̪","no","CLICS",17.9344,76.6665,"Indo-European","Indo-Iranian","Indic","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,NA
"Nepali","nep","nep","rough","khasrō","yes","CLICS",27.5947033333,87.6200833333,"Indo-European","Indo-Iranian","Indic","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,NA
"Punjabi","pnb","pan","rough","rukhā","no","CLICS",30.0948,75.3474,"Indo-European",NA,"Indic","S/SE Asia",6.2,TRUE,"mixed with trill",TRUE,FALSE,NA
"Punjabi","pnb","pan","rough","khurdarā","no","CLICS",30.0948,75.3474,"Indo-European",NA,"Indic","S/SE Asia",6.2,TRUE,"mixed with trill",TRUE,FALSE,NA
"Tamil","tam","tam","rough","karaṭumūraṭāṉa","no","CLICS",10.520219,78.825989,"Dravidian","South Dravidian","Indic","S/SE Asia",6.2,TRUE,"no trill",TRUE,FALSE,"OUT"
"Telugu","tel","tel","rough","cittu","no","CLICS",16.4529,78.7024,"Dravidian","South Dravidian","Indic","S/SE Asia",6.2,TRUE,"no trill",FALSE,FALSE,"OUT"
